Lat,Lon,Time,Line,Brigade
52.2649731,21.0469622,2024-02-23 23:33:25,520,2
52.2646678,21.0481903,2024-02-23 22:33:52,190,018
52.2643553,21.0473453,2024-02-23 23:33:24,509,1
52.264248,21.048258,2024-02-23 12:36:44,705,64
52.2980836,21.0261775,2024-02-23 23:33:16,132,3
52.265638,21.044458,2024-02-23 22:54:15,120,8
52.2636025,21.0469663,2024-02-23 23:33:21,511,1
52.2644363,21.0484821,2024-02-23 18:52:28,518,011
52.22612,21.07826,2024-02-23 23:33:23,509,4
52.2653693,21.0435304,2024-02-23 21:53:33,145,4
52.265019,21.04632,2024-02-23 17:27:07,731,731
52.2646121,21.047955,2024-02-23 21:49:55,190,2
52.2647879,21.0470243,2024-02-23 18:58:55,340,04
52.2648488,21.0471173,2024-02-23 20:00:49,102,09
52.2655808,21.0438536,2024-02-23 23:32:50,509,12
52.2646645,21.0476968,2024-02-23 21:42:57,509,11
52.2656673,21.0442096,2024-02-23 23:33:24,705,65
52.2650083,21.0463383,2024-02-23 18:20:03,723,01
52.2637411,21.0473996,2024-02-23 23:33:24,509,8
52.2643698,21.0461781,2024-02-23 18:43:00,340,02
52.2646683,21.047215,2024-02-23 14:55:29,500,6
52.2647596,21.047384,2024-02-23 21:27:24,723,474
52.266219,21.041836,2024-02-23 07:32:24,738,1
52.2658921,21.0448738,2024-02-23 19:43:06,160,513
52.415683,20.922399,2024-02-23 23:33:17,731,476
52.264319,21.047396,2024-02-23 20:53:21,723,480
52.264884,21.046523,2024-02-23 18:11:03,511,06
52.2765176,21.0529378,2024-02-23 23:33:23,738,5
52.2656778,21.0428888,2024-02-23 21:35:05,120,2
52.2655535,21.044665,2024-02-23 23:13:25,500,2
52.2657831,21.0435301,2024-02-23 23:31:54,738,4
52.2632416,21.0476161,2024-02-23 22:44:38,509,5
52.2599735,21.1617441,2024-02-23 23:33:25,199,2
52.2657998,21.0429086,2024-02-23 22:54:46,132,08
52.2632918,21.0472835,2024-02-23 20:27:56,414,06
52.262343,21.0459733,2024-02-23 23:33:23,132,5
52.2773445,21.067383,2024-02-23 23:33:21,112,7
52.264908,21.0466451,2024-02-23 22:59:02,500,7
52.2512493,21.0461866,2024-02-23 23:33:20,512,5
52.264451,21.046941,2024-02-23 23:04:04,138,8
52.3131701,20.9778906,2024-02-23 23:33:20,518,2
52.2646375,21.0480253,2024-02-23 22:14:19,509,1
52.2701128,20.9809765,2024-02-23 23:33:23,705,07
52.276354,21.0664741,2024-02-23 23:33:23,190,7
52.0835861,21.0344346,2024-02-23 23:32:50,L-5,1
52.082932,21.0310333,2024-02-23 23:33:22,L-5,2
52.0827373,21.0350653,2024-02-23 15:48:50,L-5,1
52.0832803,21.035107,2024-02-23 23:33:26,L-5,1
51.98364,21.1996049,2024-02-23 19:04:29,L25,02
51.9744626,21.1733703,2024-02-23 23:32:36,L25,1
51.9984196,21.179022,2024-02-23 23:33:26,L13,683
52.0831871,21.0346164,2024-02-23 11:36:18,L-2,684
52.0831736,21.0346793,2024-02-23 20:12:40,L-2,684
